Date,AAPL,IBM,MSFT,GOOG
2010-01-04,26.782711029052734,99.29934692382812,24.5250186920166,312.20477294921875
2010-01-05,26.829010009765625,98.09979248046875,24.532941818237305,310.8299255371094
2010-01-06,26.402259826660156,97.46253204345703,24.38237762451172,302.9942932128906
2010-01-07,26.35346031188965,97.12516021728516,24.128808975219727,295.94073486328125
2010-01-08,26.528663635253906,98.09979248046875,24.29521369934082,299.8859558105469
2010-01-11,26.294639587402344,97.07268524169922,23.98617935180664,299.4326477050781
2010-01-12,25.99553680419922,97.8448715209961,23.827693939208984,294.13751220703125
2010-01-13,26.36221694946289,97.63496398925781,24.049570083618164,292.4488220214844
2010-01-14,26.209537506103516,99.19438934326172,24.532941818237305,293.82366943359375
2010-01-15,25.771528244018555,98.79702758789062,24.453693389892578,288.91705322265625
2010-01-19,26.911611557006836,100.56632995605469,24.64388084411621,292.71282958984375
2010-01-20,26.49738311767578,97.64997863769531,24.23974609375,289.1213073730469
2010-01-21,26.03934097290039,96.71286010742188,23.780155181884766,290.4014892578125
2010-01-22,24.747817993164062,94.0888442993164,22.94812774658203,273.9780578613281
2010-01-25,25.413599014282227,94.5536880493164,23.233394622802734,268.99176025390625
2010-01-26,25.77277374267578,94.27627563476562,23.37602424621582,270.1972351074219
2010-01-27,26.015560150146484,94.71110534667969,23.510740280151367,270.037841796875
2010-01-28,24.9405460357666,92.77684783935547,23.106603622436523,266.14739990234375
2010-01-29,24.035734176635742,91.75723266601562,22.330047607421875,263.98052978515625
2010-02-01,24.369871139526367,93.4665756225586,22.512296676635742,265.5147705078125
2010-02-02,24.511295318603516,94.11133575439453,22.551925659179688,264.5683288574219
2010-02-03,24.933032989501953,94.20881652832031,22.686628341674805,269.40020751953125
2010-02-04,24.034486770629883,92.21456909179688,22.06062889099121,262.40643310546875
2010-02-05,24.461227416992188,92.60440063476562,22.203266143798828,264.65301513671875
2010-02-08,24.293537139892578,91.78357696533203,21.965539932250977,265.73895263671875
2010-02-09,24.552589416503906,92.78512573242188,22.19533920288086,267.2184143066406
2010-02-10,24.418684005737305,92.48390197753906,22.17949104309082,266.22711181640625
2010-02-11,24.862957000732422,93.17675018310547,22.282506942749023,267.198486328125
2010-02-12,25.07695770263672,93.38005065917969,22.131946563720703,265.5646057128906
2010-02-16,25.45490264892578,94.30636596679688,22.569808959960938,269.6393127441406
2010-02-17,25.348527908325195,95.13470458984375,22.760879516601562,268.10009765625
2010-02-18,25.396085739135742,96.24925231933594,23.063396453857422,270.5957336425781
2010-02-19,25.2383975982666,95.7823486328125,22.9041690826416,269.3703308105469
2010-02-22,25.081958770751953,95.52628326416016,22.872325897216797,270.38653564453125
2010-02-23,24.661466598510742,95.23260498046875,22.553882598876953,266.53594970703125
2010-02-24,25.11199951171875,96.08358001708984,22.7927188873291,264.74267578125
2010-02-25,25.279693603515625,95.6919937133789,22.76883316040039,262.2320861816406
2010-02-26,25.607582092285156,95.75975799560547,22.82456398010254,262.4164123535156
2010-03-01,26.154476165771484,96.82160186767578,23.103206634521484,265.35040283203125
2010-03-02,26.13695526123047,95.9555435180664,22.657377243041992,269.519775390625
2010-03-03,26.197019577026367,95.54885864257812,22.657377243041992,271.6418151855469
2010-03-04,26.369726181030273,95.42839813232422,22.7927188873291,276.259521484375
2010-03-05,27.400941848754883,95.82755279541016,22.760879516601562,281.0515441894531
2010-03-08,27.41720199584961,95.1949462890625,22.7927188873291,280.1897888183594
2010-03-09,27.910287857055664,94.54733276367188,22.928054809570312,279.0490417480469
2010-03-10,28.138050079345703,94.60005187988281,23.063396453857422,287.148681640625
2010-03-11,28.220651626586914,96.09110260009766,23.230581283569336,289.48492431640625
2010-03-12,28.35831642150879,96.34715270996094,23.302227020263672,288.68792724609375
2010-03-15,28.012908935546875,96.26433563232422,23.318153381347656,280.5384826660156
2010-03-16,28.089248657226562,96.8968734741211,23.381845474243164,281.5447082519531
2010-03-17,28.047943115234375,96.21159362792969,23.588829040527344,281.7240295410156
2010-03-18,28.114274978637695,96.6784896850586,23.572908401489258,282.1424560546875
2010-03-19,27.813920974731445,96.1739501953125,23.55698585510254,278.95440673828125
2010-03-22,28.12679100036621,96.37724304199219,23.56494903564453,277.7090759277344
2010-03-23,28.578577041625977,97.42401885986328,23.787858963012695,273.4749450683594
2010-03-24,28.70496940612793,96.79145812988281,23.604753494262695,277.6243896484375
2010-03-25,28.36456298828125,97.3261489868164,23.891361236572266,280.3890380859375
2010-03-26,28.89644432067871,97.3411865234375,23.612712860107422,280.2944030761719
2010-03-29,29.08291244506836,96.83662414550781,23.55698585510254,280.1748352050781
2010-03-30,29.515914916992188,96.97216796875,23.700286865234375,282.296875
2010-03-31,29.409555435180664,96.58060455322266,23.318153381347656,282.5011291503906
2010-04-01,29.530935287475586,96.58060455322266,23.214651107788086,283.3379821777344
2010-04-05,29.8463077545166,97.40897369384766,23.302227020263672,284.4388427734375
2010-04-06,29.977712631225586,97.09268951416016,23.342039108276367,283.049072265625
2010-04-07,30.110366821289062,96.75379180908203,23.36591339111328,280.7178039550781
2010-04-08,30.029022216796875,96.0986328125,23.8197078704834,282.6854248046875
2010-04-09,30.25929069519043,96.96463775634766,24.15407371520996,282.05279541015625
2010-04-12,30.321866989135742,96.66341400146484,24.138147354125977,285.295654296875
2010-04-13,30.339387893676758,97.16797637939453,24.241641998291016,292.2894287109375
2010-04-14,30.74736976623535,98.83979034423828,24.536211013793945,293.4002685546875
2010-04-15,31.151594161987305,98.56867980957031,24.576011657714844,296.53851318359375
2010-04-16,30.96137237548828,98.37289428710938,24.416793823242188,274.04779052734375
2010-04-19,30.920074462890625,99.57776641845703,24.711347579956055,274.02288818359375
2010-04-20,30.609708786010742,97.66500854492188,24.966106414794922,276.4836730957031
2010-04-21,32.44061279296875,97.13784790039062,24.94222068786621,276.11505126953125
2010-04-22,33.347923278808594,97.24329376220703,24.989990234375,272.5085754394531
2010-04-23,33.893558502197266,97.89094543457031,24.647668838500977,271.4774475097656
2010-04-26,33.72711181640625,98.44819641113281,24.76707649230957,264.8273620605469
2010-04-27,32.79352569580078,97.00984954833984,24.560089111328125,263.54217529296875
2010-04-28,32.73845291137695,97.97377014160156,24.60785484313965,263.60693359375
2010-04-29,33.61949920654297,98.244873046875,24.679506301879883,265.0066833496094
2010-04-30,32.67463302612305,97.14540100097656,24.313295364379883,261.8684387207031
