Date,High,Low,Open,Close,Volume,Adj Close
2017-01-03,167.8699951171875,166.00999450683594,167.0,167.19000244140625,2934300.0,150.42227172851562
2017-01-04,169.8699951171875,167.36000061035156,167.77000427246094,169.25999450683594,3381400.0,152.28465270996094
2017-01-05,169.38999938964844,167.25999450683594,169.25,168.6999969482422,2682300.0,151.7808074951172
2017-01-06,169.9199981689453,167.52000427246094,168.69000244140625,169.52999877929688,2945500.0,152.52757263183594
2017-01-09,169.8000030517578,167.6199951171875,169.47000122070312,167.64999389648438,3189900.0,150.83612060546875
2017-01-10,168.08999633789062,165.33999633789062,167.97999572753906,165.52000427246094,4118700.0,148.91973876953125
2017-01-11,167.75999450683594,165.60000610351562,166.0500030517578,167.75,3599500.0,150.92608642578125
2017-01-12,168.00999450683594,165.55999755859375,167.77000427246094,167.9499969482422,2927500.0,151.10604858398438
2017-01-13,168.47999572753906,166.8800048828125,167.97000122070312,167.33999633789062,2875400.0,150.5572052001953
2017-01-17,168.17999267578125,166.1199951171875,166.69000244140625,167.88999938964844,3315700.0,151.0520477294922
2017-01-18,168.58999633789062,166.69000244140625,167.4499969482422,166.8000030517578,4007800.0,150.07135009765625
2017-01-19,167.4499969482422,165.8000030517578,166.9600067138672,166.80999755859375,6963400.0,150.08035278320312
2017-01-20,170.63999938964844,166.0,167.80999755859375,170.5500030517578,12690000.0,153.4452667236328
2017-01-23,171.25,170.00999450683594,170.0800018310547,171.02999877929688,5478200.0,153.8771209716797
2017-01-24,176.0,171.16000366210938,171.36000061035156,175.89999389648438,6952400.0,158.2587127685547
2017-01-25,179.25,176.1300048828125,176.25999450683594,178.2899932861328,5922500.0,160.4090118408203
2017-01-26,178.8800048828125,177.50999450683594,178.05999755859375,178.66000366210938,3063900.0,160.7418975830078
2017-01-27,179.1999969482422,177.3000030517578,178.47000122070312,177.3000030517578,3482300.0,159.51828002929688
2017-01-30,177.07000732421875,174.5800018310547,176.97999572753906,175.8000030517578,4094800.0,158.16876220703125
2017-01-31,175.5800018310547,173.61000061035156,175.0500030517578,174.52000427246094,4139000.0,157.01710510253906
2017-02-01,175.6999969482422,172.88999938964844,175.0,174.2899932861328,2795700.0,156.8101806640625
2017-02-02,174.97000122070312,173.5500030517578,174.22999572753906,174.5800018310547,2620500.0,157.0711212158203
2017-02-03,176.33999633789062,174.88999938964844,175.0,175.82000732421875,3309300.0,158.18675231933594
2017-02-06,175.97999572753906,174.3800048828125,175.30999755859375,175.86000061035156,2650800.0,158.2227020263672
2017-02-07,178.6199951171875,175.89999389648438,176.0,178.4600067138672,3873500.0,160.56198120117188
2017-02-08,177.5,175.8800048828125,177.5,176.1699981689453,2913100.0,159.75489807128906
2017-02-09,177.8000030517578,175.91000366210938,176.1699981689453,177.2100067138672,3090700.0,160.69801330566406
2017-02-10,178.8699951171875,176.75999450683594,177.3699951171875,178.67999267578125,2930700.0,162.031005859375
2017-02-13,179.89999389648438,178.83999633789062,179.24000549316406,179.36000061035156,3093400.0,162.64764404296875
2017-02-14,180.1300048828125,178.35000610351562,178.57000732421875,180.1300048828125,2776500.0,163.3459014892578
2017-02-15,181.9199981689453,179.80999755859375,180.1999969482422,181.67999267578125,2914300.0,164.75149536132812
2017-02-16,182.7899932861328,180.8699951171875,181.4499969482422,181.42999267578125,3251500.0,164.52476501464844
2017-02-17,181.57000732421875,180.0,181.25,180.6699981689453,3552500.0,163.83560180664062
2017-02-21,180.7899932861328,179.1199951171875,180.60000610351562,180.25999450683594,4480300.0,163.4638214111328
2017-02-22,181.33999633789062,180.08999633789062,180.08999633789062,181.14999389648438,3020500.0,164.27085876464844
2017-02-23,182.5,180.9199981689453,182.0,181.64999389648438,2282500.0,164.7242889404297
2017-02-24,181.49000549316406,179.88999938964844,180.2100067138672,181.35000610351562,3300100.0,164.4522247314453
2017-02-27,181.25,179.27999877929688,181.19000244140625,179.39999389648438,3691300.0,162.6839141845703
2017-02-28,180.6300048828125,179.35000610351562,179.3800048828125,179.82000732421875,3273400.0,163.0648193359375
2017-03-01,182.5500030517578,180.02999877929688,180.47999572753906,181.9499969482422,3005600.0,164.99635314941406
2017-03-02,181.8800048828125,180.42999267578125,181.8800048828125,180.52999877929688,2918200.0,163.70863342285156
2017-03-03,181.32000732421875,179.75999450683594,180.52999877929688,180.0500030517578,1822000.0,163.27337646484375
2017-03-06,180.99000549316406,179.57000732421875,179.72000122070312,180.47000122070312,3204400.0,163.6542510986328
2017-03-07,181.2899932861328,180.1999969482422,180.7100067138672,180.3800048828125,2980500.0,163.57260131835938
2017-03-08,180.9499969482422,179.3000030517578,180.75,179.4499969482422,3557400.0,162.72926330566406
2017-03-09,179.25,175.8800048828125,179.14999389648438,177.17999267578125,5444100.0,160.6707763671875
2017-03-10,179.49000549316406,177.4199981689453,178.2100067138672,177.8300018310547,3100300.0,161.26022338867188
2017-03-13,178.05999755859375,176.4199981689453,177.85000610351562,176.4600067138672,3482200.0,160.0178680419922
2017-03-14,176.82000732421875,175.2100067138672,176.17999267578125,175.72000122070312,3147500.0,159.34681701660156
