Date,AAPL,IBM,MSFT,GOOG
2010-06-01,219118200.0,7135400.0,76152400.0,5353500.0
2010-06-02,172137000.0,7705300.0,65718800.0,5100500.0
2010-06-03,162526700.0,6645300.0,67837000.0,7328700.0
2010-06-04,189576100.0,9669200.0,89832200.0,7869900.0
2010-06-07,221735500.0,6951400.0,80456200.0,7292500.0
2010-06-08,250192600.0,8399200.0,87355000.0,5390200.0
2010-06-09,213657500.0,7795500.0,87794000.0,5478300.0
2010-06-10,194089000.0,7479700.0,78930900.0,5175000.0
2010-06-11,136439800.0,5820200.0,68057700.0,3576600.0
2010-06-14,150740100.0,6753000.0,50972400.0,4096000.0
2010-06-15,146268500.0,6652500.0,81641500.0,8551100.0
2010-06-16,195919500.0,6401000.0,48698000.0,4595600.0
2010-06-17,218213800.0,5571000.0,47995500.0,3969300.0
2010-06-18,196155400.0,9581400.0,52075600.0,5767200.0
2010-06-21,194122600.0,6857800.0,54625300.0,5989200.0
2010-06-22,179315500.0,6030200.0,55985400.0,4456000.0
2010-06-23,192114300.0,6855800.0,61466200.0,4073300.0
2010-06-24,178569300.0,5565500.0,85243400.0,3801300.0
2010-06-25,137485600.0,10420400.0,156256700.0,4507100.0
2010-06-28,146237000.0,6335100.0,73784800.0,3537700.0
2010-06-29,283336200.0,9376200.0,119882100.0,7030400.0
2010-06-30,184863000.0,8018000.0,81050500.0,7233400.0
2010-07-01,255724000.0,9742100.0,92239400.0,7053500.0
2010-07-02,173460700.0,6454500.0,62485100.0,3886400.0
2010-07-06,153808900.0,6348700.0,73592000.0,5139300.0
2010-07-07,163639000.0,7090300.0,79965300.0,6282800.0
2010-07-08,184536100.0,5439300.0,50758100.0,5357700.0
2010-07-09,108330600.0,3898000.0,53806100.0,8695400.0
2010-07-12,140719600.0,4206900.0,49854200.0,6693700.0
2010-07-13,297731000.0,6687700.0,61928700.0,7982300.0
2010-07-14,203011900.0,6607200.0,72808100.0,6259300.0
2010-07-15,206216500.0,6186800.0,56934700.0,9752800.0
2010-07-16,259964600.0,7002900.0,65064800.0,15708200.0
2010-07-19,256119500.0,8388600.0,38181800.0,9134700.0
2010-07-20,268737700.0,16337400.0,45530700.0,8139300.0
2010-07-21,296417800.0,8615500.0,73297300.0,6583700.0
2010-07-22,161329700.0,6909000.0,73016400.0,4311400.0
2010-07-23,133347200.0,5078000.0,108520100.0,4545700.0
2010-07-26,105137900.0,5174900.0,67249900.0,4005200.0
2010-07-27,146192900.0,4648200.0,60672100.0,4920700.0
2010-07-28,129996300.0,4248800.0,69704800.0,5010600.0
2010-07-29,160951700.0,8994200.0,69446200.0,5371000.0
2010-07-30,112052500.0,6021000.0,83534800.0,4304100.0
2010-08-02,107013900.0,6437500.0,55044600.0,3731300.0
2010-08-03,104413400.0,5091800.0,56877700.0,3618100.0
2010-08-04,105093800.0,4567500.0,78531900.0,7653500.0
2010-08-05,72274300.0,4520600.0,64922100.0,4858900.0
2010-08-06,111224400.0,6136200.0,55982100.0,6663800.0
2010-08-09,75782000.0,6131700.0,57096500.0,3758300.0
2010-08-10,112980000.0,5471700.0,87257700.0,4163400.0
2010-08-11,155013600.0,6316100.0,76746900.0,4462600.0
2010-08-12,133730100.0,5132200.0,70240500.0,4425700.0
2010-08-13,88717300.0,4669400.0,45263500.0,3883800.0
2010-08-16,79607500.0,4009200.0,40909700.0,2619700.0
2010-08-17,105660100.0,4298300.0,52912600.0,3795400.0
2010-08-18,84924000.0,4883200.0,46818900.0,5392800.0
2010-08-19,106676500.0,5402400.0,54064600.0,7879300.0
2010-08-20,96057500.0,6246300.0,49560100.0,7864500.0
2010-08-23,103510400.0,4034400.0,51643000.0,5994700.0
2010-08-24,150641400.0,5621200.0,66522500.0,5546000.0
2010-08-25,149216900.0,5235300.0,47404800.0,5203500.0
2010-08-26,116626300.0,7746600.0,49105300.0,3567200.0
2010-08-27,137097800.0,6214200.0,60939400.0,4642100.0
2010-08-30,95822300.0,3604000.0,45453100.0,2471900.0
2010-08-31,105196700.0,5624200.0,66074600.0,3908100.0
2010-09-01,174259400.0,5623100.0,65235900.0,6480700.0
2010-09-02,103856900.0,5103300.0,48837100.0,3380900.0
2010-09-03,130197200.0,5142900.0,64189100.0,5099700.0
2010-09-07,85639400.0,4353300.0,51928700.0,3432500.0
2010-09-08,131637800.0,4477500.0,65512400.0,4821600.0
2010-09-09,109643800.0,3436700.0,46028900.0,4879300.0
2010-09-10,96885600.0,4418700.0,58284300.0,3963300.0
2010-09-13,97195000.0,5271300.0,114680400.0,4499700.0
2010-09-14,102037600.0,4850500.0,87160400.0,4449500.0
2010-09-15,107342200.0,4762500.0,56201900.0,4823600.0
2010-09-16,163025800.0,4685000.0,44548300.0,3953700.0
2010-09-17,158619300.0,10397400.0,70341600.0,11325400.0
2010-09-20,164669400.0,7145500.0,49838700.0,8840000.0
2010-09-21,167018600.0,5267900.0,52675700.0,8966000.0
2010-09-22,146322400.0,4922400.0,94299400.0,5093100.0
2010-09-23,196529200.0,3898800.0,46201800.0,4652100.0
2010-09-24,162372000.0,7122400.0,51948800.0,6738900.0
2010-09-27,120708700.0,6155400.0,43603300.0,6238000.0
2010-09-28,258760600.0,7481300.0,56041200.0,7336700.0
2010-09-29,117411000.0,5151200.0,44318900.0,4360600.0
2010-09-30,168347900.0,6425800.0,61262700.0,6512400.0
2010-10-01,112035700.0,5621200.0,62672300.0,4466600.0
2010-10-04,108825500.0,4059900.0,98143400.0,3895400.0
2010-10-05,125491800.0,6202500.0,78152900.0,7040400.0
2010-10-06,167717200.0,4783000.0,50489700.0,5545200.0
2010-10-07,102099900.0,6440800.0,50096100.0,4809400.0
2010-10-08,164600800.0,4540800.0,41327800.0,5739800.0
2010-10-11,106938300.0,4004300.0,27587800.0,5272200.0
2010-10-12,139636000.0,5637300.0,50141500.0,7535300.0
2010-10-13,157523100.0,8784300.0,75336500.0,6134000.0
2010-10-14,108824100.0,5653100.0,51949100.0,13317800.0
2010-10-15,230548500.0,7220400.0,68954800.0,29760600.0
2010-10-18,273252700.0,10322700.0,48330500.0,14249500.0
2010-10-19,308196000.0,14159100.0,66150900.0,9210100.0
2010-10-20,180406100.0,6945500.0,56283600.0,7076500.0
2010-10-21,137865000.0,6221200.0,50032400.0,5862800.0
2010-10-22,93194500.0,4105300.0,25837900.0,4529100.0
2010-10-25,98115500.0,4870000.0,50912400.0,6340400.0
2010-10-26,98232400.0,7327100.0,69304200.0,5044600.0
2010-10-27,99750700.0,6465300.0,64805500.0,4500500.0
2010-10-28,137762800.0,5481600.0,80730300.0,4384900.0
2010-10-29,107627800.0,8439300.0,114193200.0,4573600.0
2010-11-01,105972300.0,5674600.0,61912100.0,6197200.0
2010-11-02,108482500.0,4626400.0,54402100.0,4010000.0
2010-11-03,127087100.0,5182100.0,110255300.0,6786200.0
2010-11-04,160622000.0,6622500.0,93599300.0,7168300.0
2010-11-05,90313300.0,4995800.0,110953700.0,3544600.0
2010-11-08,70439600.0,4459700.0,71670800.0,4218300.0
2010-11-09,95886000.0,5700600.0,58538600.0,4491000.0
2010-11-10,96056800.0,5172000.0,52277300.0,5012600.0
2010-11-11,90321000.0,4752200.0,62073100.0,4540100.0
2010-11-12,198961700.0,4731500.0,64962200.0,6811300.0
2010-11-15,100901500.0,3827700.0,51794600.0,6983800.0
2010-11-16,164412500.0,6342100.0,65339200.0,6639500.0
2010-11-17,119862400.0,4785900.0,58299700.0,4903200.0
2010-11-18,123622800.0,4236200.0,59514000.0,5199300.0
2010-11-19,96210800.0,5015900.0,52423200.0,4612100.0
2010-11-22,98268800.0,3730700.0,53350500.0,4389500.0
2010-11-23,129861900.0,4570300.0,69742500.0,4341300.0
2010-11-24,103431300.0,4874100.0,56825900.0,4810600.0
2010-11-26,59396400.0,2081300.0,21356500.0,2632000.0
2010-11-29,111446300.0,5040300.0,56603600.0,5740800.0
2010-11-30,125464500.0,7674800.0,75282100.0,14288100.0
2010-12-01,115437700.0,6822800.0,74123500.0,7536300.0
2010-12-02,115709300.0,5374000.0,91759200.0,5114800.0
2010-12-03,85523200.0,3710600.0,52622000.0,5282000.0
2010-12-06,112120400.0,3321800.0,36264200.0,4203200.0
2010-12-07,97863500.0,4828600.0,57860500.0,6107100.0
2010-12-08,80483900.0,4961400.0,41666800.0,3526900.0
2010-12-09,73537800.0,4405300.0,47148300.0,3751700.0
2010-12-10,65627800.0,3503800.0,37625800.0,3422100.0
2010-12-13,109953900.0,4741000.0,47943900.0,4814800.0
2010-12-14,87752000.0,4800800.0,64070500.0,3298800.0
2010-12-15,104328000.0,4447400.0,69634200.0,4351600.0
2010-12-16,80507700.0,4178600.0,57680200.0,3205600.0
2010-12-17,96732300.0,10027000.0,87456500.0,6197200.0
2010-12-20,96402600.0,3995000.0,52811000.0,3961300.0
2010-12-21,64088500.0,3777100.0,38153000.0,3773000.0
2010-12-22,66480400.0,3388800.0,42252300.0,2424000.0
2010-12-23,55789300.0,2424500.0,24902500.0,2229900.0
2010-12-27,62454000.0,2314700.0,21652800.0,2425200.0
2010-12-28,43981000.0,2699600.0,23042200.0,2137500.0
2010-12-29,40784800.0,3661100.0,19502500.0,2046000.0
2010-12-30,39373600.0,3039100.0,20786100.0,1986300.0
2010-12-31,48377000.0,2969800.0,24752000.0,3090000.0
2011-01-03,111284600.0,4603800.0,53443800.0,4748100.0
2011-01-04,77270200.0,5060100.0,54405600.0,3662600.0
2011-01-05,63879900.0,4657400.0,58998700.0,5083500.0
2011-01-06,75107200.0,5029200.0,88026300.0,4131000.0
2011-01-07,77982800.0,4135700.0,73762000.0,4218100.0
2011-01-10,112140000.0,3633400.0,57573600.0,3170100.0
2011-01-11,111027000.0,4163600.0,50298900.0,2889300.0
2011-01-12,75647600.0,4091500.0,52631100.0,3277500.0
2011-01-13,74195100.0,3445800.0,67077600.0,2677900.0
2011-01-14,77210000.0,4544200.0,62688400.0,4748900.0
2011-01-18,470249500.0,9176900.0,53322700.0,7261000.0
2011-01-19,283903200.0,12141000.0,50005900.0,6837700.0
2011-01-20,191197300.0,7439900.0,58613600.0,11012600.0
2011-01-21,188600300.0,7009000.0,58080300.0,17875500.0
2011-01-24,143670800.0,7285100.0,52047800.0,9232700.0
2011-01-25,136717000.0,8260800.0,42436600.0,7320800.0
2011-01-26,126718900.0,5353100.0,74628800.0,4091400.0
2011-01-27,71256500.0,4878300.0,146938600.0,4053400.0
2011-01-28,148014300.0,6725600.0,141249400.0,8493800.0
2011-01-31,94311700.0,7197200.0,65029000.0,5630800.0
2011-02-01,106658300.0,5831300.0,62810700.0,5511000.0
2011-02-02,64738800.0,3904000.0,45824000.0,3534500.0
2011-02-03,98449400.0,4683400.0,60340100.0,3001300.0
2011-02-04,80460100.0,3755200.0,40412200.0,3113200.0
2011-02-07,121255400.0,4928100.0,68980900.0,3612500.0
2011-02-08,95260200.0,5612600.0,34904200.0,3402400.0
2011-02-09,120686300.0,4633600.0,52905100.0,3698700.0
2011-02-10,232137500.0,5737800.0,76672400.0,4686200.0
2011-02-11,91893200.0,5185200.0,83939700.0,5199100.0
2011-02-14,77604100.0,4129800.0,56766200.0,4271800.0
2011-02-15,71043700.0,3768700.0,44116500.0,4199500.0
2011-02-16,120289400.0,3216000.0,70817900.0,3380500.0
2011-02-17,132645800.0,3230500.0,57207300.0,2968600.0
2011-02-18,204014300.0,4245000.0,68667800.0,6459800.0
2011-02-22,218138900.0,5209300.0,60889000.0,7307000.0
2011-02-23,167963600.0,5998100.0,60234100.0,5800700.0
2011-02-24,124975200.0,5707500.0,64494200.0,5443700.0
2011-02-25,95004700.0,4518400.0,53006300.0,3879200.0
2011-02-28,100768500.0,4773000.0,51379900.0,4580000.0
2011-03-01,114034200.0,4382800.0,60055000.0,6671200.0
2011-03-02,150647700.0,3413000.0,48658200.0,4068500.0
2011-03-03,125197100.0,4057800.0,68271500.0,3905000.0
2011-03-04,113316700.0,4910700.0,70437200.0,6044500.0
2011-03-07,136530800.0,5312000.0,64980400.0,6951300.0
2011-03-08,89079200.0,5384800.0,50549800.0,4586800.0
2011-03-09,113326500.0,9086600.0,39789100.0,4318100.0
2011-03-10,126884800.0,7041400.0,66549500.0,6279500.0
2011-03-11,117770100.0,4271000.0,49905800.0,6086600.0
2011-03-14,108989300.0,4300500.0,54473400.0,5653200.0
2011-03-15,180270300.0,6475800.0,76067300.0,8041200.0
2011-03-16,290502800.0,12195300.0,100725400.0,7625300.0
2011-03-17,164855600.0,7376400.0,62497000.0,5820200.0
2011-03-18,188303500.0,11450000.0,85486700.0,6621800.0
2011-03-21,102350500.0,5784000.0,46878100.0,6064400.0
2011-03-22,81480700.0,4311400.0,30895600.0,3787800.0
2011-03-23,93249100.0,4782500.0,43969000.0,3645900.0
2011-03-24,101178000.0,5145800.0,38696700.0,4213000.0
2011-03-25,112227500.0,5348100.0,57029800.0,5738200.0
2011-03-28,77338800.0,3972800.0,48973200.0,4453300.0
2011-03-29,88225200.0,3456700.0,40763500.0,3221600.0
2011-03-30,82351500.0,3394100.0,41999300.0,2855200.0
2011-03-31,68504800.0,3860800.0,63233700.0,4073900.0
2011-04-01,104665400.0,4381900.0,63114200.0,5245900.0
2011-04-04,115021200.0,3225100.0,35433700.0,4124300.0
2011-04-05,120682800.0,3612000.0,73651100.0,12140200.0
2011-04-06,100634800.0,3774800.0,65581400.0,5356500.0
2011-04-07,93361800.0,3666700.0,46134700.0,5081900.0
2011-04-08,94383800.0,3324100.0,39887600.0,3817800.0
2011-04-11,99736700.0,4139000.0,34286300.0,3730300.0
2011-04-12,106409800.0,3860600.0,36920400.0,4186700.0
2011-04-13,86555000.0,4181900.0,38144700.0,4154200.0
2011-04-14,75450200.0,4699100.0,55239900.0,10953400.0
2011-04-15,113401400.0,5287400.0,65080400.0,28192500.0
2011-04-18,152474700.0,6160700.0,58045100.0,10117300.0
2011-04-19,104844600.0,6547100.0,38892400.0,5388200.0
2011-04-20,175166600.0,10891800.0,61608600.0,6142900.0
2011-04-21,188452600.0,6158400.0,46892300.0,4958600.0
2011-04-25,66636500.0,3583800.0,33525100.0,3273700.0
2011-04-26,84700000.0,7300000.0,69200000.0,7026100.0
2011-04-27,89053300.0,5299700.0,52689000.0,4613900.0
2011-04-28,90239800.0,5087700.0,80200000.0,4014800.0
2011-04-29,251586300.0,5587700.0,319317900.0,8488600.0
2011-05-02,110678400.0,5396200.0,89825600.0,4283300.0
2011-05-03,78337000.0,5007700.0,71892900.0,4178500.0
2011-05-04,97312600.0,6890300.0,73292300.0,4249800.0
2011-05-05,83992300.0,7332000.0,55600000.0,4010400.0
2011-05-06,70033600.0,4839400.0,55993000.0,4127600.0
2011-05-09,51186800.0,3594800.0,38696400.0,3911900.0
2011-05-10,70522900.0,4934800.0,120798700.0,4101000.0
