Tipo de Cáncer;5 años;10 años;15 años;20 años
Pulmón y bronquios;15;10.6;8.1;6.5
Esófago;14.2;7.9;7.7;5.4
Hígado;7.5;5.8;6.3;7.6
Páncreas;4;3;2.7;2.7
